公司,年月,股東權益總額,當季季底P/E,季底普通股市值,TEJ主產業代碼
1101 台泥,2020/12/31,"218,830,053",7.06,"251,002,973",11A
1102 亞泥,2020/12/31,"169,886,952",5.98,"145,214,510",11A
1103 嘉泥,2020/12/31,"25,017,349",8.81,"14,759,559",11A
1104 環泥,2020/12/31,"18,785,353",10.9,"15,163,729",11A
1108 幸福,2020/12/31,"4,656,919",11.98,"5,140,173",11A
1109 信大,2020/12/31,"9,541,016",3.26,"6,839,140",11A
1110 東泥,2020/12/31,"8,548,719","3,061.84","10,238,800",11A
1201 味全,2020/12/31,"6,855,788",16.48,"11,285,183",12C
1203 味王,2020/12/31,"6,312,382",9.34,"8,784,000",12Z
1210 大成,2020/12/31,"27,886,752",8.36,"42,028,821",12B
1213 大飲,2020/12/31,"536,146",,"437,688",12C
1215 卜蜂,2020/12/31,"8,733,486",9.88,"19,402,476",12B
1216 統一,2020/12/31,"180,598,593",10.5,"383,536,013",12C
1217 愛之味,2020/12/31,"6,858,474",17.31,"4,925,349",12A
1218 泰山,2020/12/31,"7,031,602",15.58,"13,799,972",12B
1219 福壽,2020/12/31,"4,443,414",17.82,"6,987,682",12B
1220 台榮,2020/12/31,"2,548,594",9.8,"2,231,170",12B
1225 福懋油,2020/12/31,"3,733,141",14.54,"8,190,427",12B
1227 佳格,2020/12/31,"18,015,627",13.07,"56,094,956",12Z
1229 聯華,2020/12/31,"44,450,094",15.04,"54,591,815",12B
1231 聯華食,2020/12/31,"4,065,573",11.06,"8,588,776",12Z
1232 大統益,2020/12/31,"4,641,004",13.81,"22,796,295",12B
1233 天仁,2020/12/31,"1,504,274",45.65,"3,270,335",12Z
1234 黑松,2020/12/31,"18,068,635",12.8,"13,241,649",12C
1235 興泰,2020/12/31,"2,997,328",38.9,"2,683,003",12B
1236 宏亞,2020/12/31,"1,607,981","8,791.18","1,538,456",12Z
1256 鮮活果汁-KY,2020/12/31,"2,670,735",9.73,"9,949,548",12C
1301 台塑,2020/12/31,"332,536,140",25.24,"613,657,336",13A
1303 南亞,2020/12/31,"356,586,478",18.62,"570,226,030",13A
1304 台聚,2020/12/31,"48,723,643",3.96,"26,866,044",13A
1305 華夏,2020/12/31,"10,303,758",6.59,"14,083,546",13A
1307 三芳,2020/12/31,"7,873,126",23.94,"9,010,578",13A
1308 亞聚,2020/12/31,"12,109,545",10.89,"12,515,172",13A
1309 台達化,2020/12/31,"6,355,806",5.41,"13,407,797",13A
1310 台苯,2020/12/31,"7,463,726",36.45,"9,950,331",13A
1312 國喬,2020/12/31,"31,120,337",4.2,"21,532,225",13A
1313 聯成,2020/12/31,"24,954,701",9.52,"25,581,062",13A
1314 中石化,2020/12/31,"70,868,031",368.76,"38,268,503",13A
1315 達新,2020/12/31,"12,204,094",56.67,"10,006,920",13A
1316 上曜,2020/12/31,"2,609,608",,"2,271,527",25A
1319 東陽,2020/12/31,"22,359,392",26.35,"23,067,603",15D
1321 大洋,2020/12/31,"6,604,117",24.39,"8,157,485",13A
1323 永裕,2020/12/31,"2,581,337",6.54,"3,025,733",13A
1324 地球,2020/12/31,"972,295",35.91,"788,771",13A
1325 恒大,2020/12/31,"3,829,882",3.05,"7,717,931",14F
1326 台化,2020/12/31,"395,452,529",20.49,"496,442,454",13A
1337 再生-KY,2020/12/31,"5,794,990",,"2,479,756",13B
1338 廣華-KY,2020/12/31,"6,565,723",14.26,"5,122,624",15D
1339 昭輝,2020/12/31,"3,585,661",11.68,"3,143,451",15D
1340 勝悅-KY,2020/12/31,"5,421,970",,"1,942,109",13B
1341 富林-KY,2020/12/31,"1,216,621",7.29,"2,889,900",13A
1342 八貫,2020/12/31,"1,458,936",16.39,"4,070,700",13B
1402 遠東新,2020/12/31,"269,424,640",11.14,"154,965,731",14A
1409 新纖,2020/12/31,"42,165,245",7.78,"23,062,328",14A
1410 南染,2020/12/31,"1,138,609",26.4,"2,160,900",14E
1413 宏洲,2020/12/31,"1,040,486",,"1,195,614",14A
1414 東和,2020/12/31,"3,119,690",55.22,"3,157,000",14B
1416 廣豐,2020/12/31,"3,617,737",,"2,205,570",29A
1417 嘉裕,2020/12/31,"2,558,563",,"2,117,842",14C
1418 東華,2020/12/31,"407,391",,"409,773",14B
1419 新紡,2020/12/31,"9,087,368",31.72,"12,691,734",14C
1423 利華,2020/12/31,"3,003,190",5.49,"2,221,320",14D
1432 大魯閣,2020/12/31,"796,172",62.92,"1,068,750",29A
1434 福懋,2020/12/31,"61,483,588",23.23,"52,308,817",14C
1435 中福,2020/12/31,"830,205",,"3,256,874",23E
1436 華友聯,2020/12/31,"2,706,849",19.37,"3,648,437",25A
1437 勤益控,2020/12/31,"6,397,640",13.09,"5,033,432",25F
1438 三地開發,2020/12/31,"560,237",25.78,"1,218,691",25A
1439 中和,2020/12/31,"2,230,790",256.36,"2,622,000",14D
1440 南紡,2020/12/31,"25,277,681",25.13,"24,852,225",14A
1441 大東,2020/12/31,"964,789",,"864,864",14B
1442 名軒,2020/12/31,"5,514,196",77.94,"6,573,487",25A
1443 立益,2020/12/31,"788,945",,"1,597,047",14B
1444 力麗,2020/12/31,"11,476,477",,"12,636,386",14A
1445 大宇,2020/12/31,"1,592,896",,"1,522,259",14C
1446 宏和,2020/12/31,"1,538,654",,"4,379,146",14C
1447 力鵬,2020/12/31,"10,429,215",,"8,248,673",14A
1449 佳和,2020/12/31,"1,084,525",,"2,479,059",14C
1451 年興,2020/12/31,"7,269,509",,"3,425,400",14C
1452 宏益,2020/12/31,"2,514,111",34.41,"2,281,425",14A
1453 大將,2020/12/31,"1,293,259",46.14,"899,489",25A
1454 台富,2020/12/31,"1,527,087",,"1,160,707",14C
1455 集盛,2020/12/31,"6,525,869",,"6,160,011",14A
1456 怡華,2020/12/31,"1,288,189",21.75,"1,522,950",14C
1457 宜進,2020/12/31,"7,763,198",6.27,"4,977,176",14A
1459 聯發,2020/12/31,"2,931,160",,"3,238,411",14A
1460 宏遠,2020/12/31,"3,806,320",,"5,021,865",14C
1463 強盛,2020/12/31,"2,247,837",28.24,"2,373,772",14E
1464 得力,2020/12/31,"5,454,783",,"7,152,909",14C
1465 偉全,2020/12/31,"1,711,413",,"1,414,236",14C
1466 聚隆,2020/12/31,"1,579,597",48.24,"2,167,562",14A
1467 南緯,2020/12/31,"3,332,000",12.5,"4,649,118",14C
1468 昶和,2020/12/31,"1,257,998",49.44,"2,406,075",14C
1470 大統新創,2020/12/31,"966,140",50.59,"1,552,383",14E
1471 首利,2020/12/31,"1,043,367",2.12,"890,451",23D
1472 三洋紡,2020/12/31,"260,628",,"946,572",14A
1473 台南,2020/12/31,"3,279,999",,"2,803,265",14C
1474 弘裕,2020/12/31,"1,995,694",15.35,"1,740,606",14C
1475 業旺,2020/12/31,"350,092",163.04,"616,616",14C
1476 儒鴻,2020/12/31,"19,167,984",21.78,"115,920,058",14C
1477 聚陽,2020/12/31,"10,164,164",15.66,"42,102,424",14C
1503 士電,2020/12/31,"25,700,345",12.12,"26,465,378",15B
1504 東元,2020/12/31,"67,625,232",13.29,"54,406,684",15B
1506 正道,2020/12/31,"902,840",,"1,765,454",15D
1507 永大,2020/12/31,"12,042,300",17.85,"25,758,414",15B
1512 瑞利,2020/12/31,"184,737",,"1,181,143",15D
1513 中興電,2020/12/31,"10,903,546",13.97,"25,520,782",15B
1514 亞力,2020/12/31,"3,327,346",14.41,"5,675,523",15B
1515 力山,2020/12/31,"3,761,193",12.53,"13,211,234",15A
1516 川飛,2020/12/31,"407,295",30.61,"877,047",99Z
1517 利奇,2020/12/31,"3,367,379",17.5,"3,246,506",15E
1519 華城,2020/12/31,"3,547,016",23.68,"12,974,583",15B
1521 大億,2020/12/31,"1,760,329",24.05,"4,299,372",15D
1522 堤維西,2020/12/31,"6,704,926",20.43,"7,384,369",15D
1524 耿鼎,2020/12/31,"2,203,927",114.17,"1,710,959",15D
1525 江申,2020/12/31,"4,323,976",12.21,"5,005,880",15D
1526 日馳,2020/12/31,"1,132,693",12.51,"2,751,000",15E
1527 鑽全,2020/12/31,"4,116,934",11.09,"5,771,441",15A
